CS:EIP     	Symbol + Offset                                                                                                                                                                                                                                                     	64-bit 	CPU clocks 	IPC  	DC miss rate 	DTLB L1M L2M rate 	Misalign rate 	Mispredict rate 	
0x2301af40 	ICreepEntity::GetMaxHealth                                                                                                                                                                                                                                          	       	24         	0.50 	0.03         	0                 	0.02          	0.01            	
0x230c43f0 	IUnitEntity::Slide                                                                                                                                                                                                                                                  	       	22         	0.50 	0.03         	0                 	0             	0.05            	
0x230bb8e0 	CRBGuard::UpdateAggro                                                                                                                                                                                                                                               	       	22         	0.50 	0            	0                 	0             	0               	
0x2301f0e0 	CEntitySnapshot::WriteInteger<unsigned char>                                                                                                                                                                                                                        	       	22         	0.73 	0.01         	0                 	0             	0               	
0x2301b310 	std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<unsigned int,std::allocator<unsigned int> > >                                                                                                                          	       	22         	1.45 	0            	0                 	0             	0               	
0x230c5590 	IUnitEntity::ServerFrameThink                                                                                                                                                                                                                                       	       	21         	0.33 	0.03         	0                 	0             	0               	
0x230bc2a0 	CRBAttackMove::UpdateAggro                                                                                                                                                                                                                                          	       	21         	0.29 	0.10         	0.02              	0             	0               	
0x23020a30 	CEntitySnapshot::WriteDeltaPos2D                                                                                                                                                                                                                                    	       	21         	0.76 	0.02         	0                 	0             	0               	
0x2300c190 	IUnitEntity::GetUnitwalking                                                                                                                                                                                                                                         	       	21         	2.90 	0.01         	0                 	0             	0.00            	
0x230935d0 	IEntityDefinition::GenerateMergedModifier                                                                                                                                                                                                                           	       	20         	1.25 	0            	0                 	0             	0               	
0x23010f40 	IUnitDefinition::GetMaxMana                                                                                                                                                                                                                                         	       	20         	0.55 	0.02         	0                 	0             	0.01            	
0x2300c400 	IUnitDefinition::GetFlying                                                                                                                                                                                                                                          	       	19         	0.26 	0.10         	0                 	0             	0               	
0x230e8410 	CBrain::FrameCleanup                                                                                                                                                                                                                                                	       	18         	0.28 	0.24         	0.06              	0             	0               	
0x230d2260 	IGameEntity::GetActiveExclusiveModifiers                                                                                                                                                                                                                            	       	18         	0.78 	0            	0                 	0             	0.01            	
0x230bfa10 	IUnitEntity::GetLastAggression                                                                                                                                                                                                                                      	       	18         	0.22 	0.05         	0                 	0             	0               	
0x2301a5c0 	IUnitEntity::GetModel                                                                                                                                                                                                                                               	       	18         	0.56 	0.03         	0                 	0             	0.01            	
0x2300dd30 	IUnitDefinition::GetRevealRange                                                                                                                                                                                                                                     	       	18         	0.44 	0.01         	0                 	0             	0.01            	
0x2300bc80 	IUnitEntity::GetBaseStashAccess                                                                                                                                                                                                                                     	       	18         	0.39 	0.03         	0                 	0             	0.20            	
0x230e7c20 	CASMoving::ContinueStateMovement                                                                                                                                                                                                                                    	       	17         	0.53 	0.03         	0                 	0             	0.01            	
0x230baf80 	CSBAttack::ThinkFrame                                                                                                                                                                                                                                               	       	17         	0.47 	0            	0                 	0             	0               	
0x230d2d50 	IBuildingEntity::ServerFrameMovement                                                                                                                                                                                                                                	       	16         	0.50 	0            	0                 	0             	0.03            	
0x230c0720 	IUnitEntity::GetAnim                                                                                                                                                                                                                                                	       	16         	1.62 	0            	0                 	0             	0.01            	
0x230b9490 	CSBSentry::Validate                                                                                                                                                                                                                                                 	       	16         	0.19 	0.03         	0                 	0             	0.17            	
0x2301c890 	CEntitySnapshot::WriteRound16                                                                                                                                                                                                                                       	       	16         	1    	0            	0                 	0.01          	0.06            	
0x2300f6c0 	IUnitDefinition::GetInvulnerable                                                                                                                                                                                                                                    	       	16         	0.12 	0.05         	0                 	0             	0               	
0x230c0100 	IUnitEntity::IsTargetType                                                                                                                                                                                                                                           	       	15         	0.47 	0            	0                 	0             	0.03            	
0x23093e20 	IEntityDefinition::ApplyAuras                                                                                                                                                                                                                                       	       	15         	1.20 	0            	0                 	0             	0.01            	
0x2301efb0 	std::_Tree<std::_Tmap_traits<unsigned int,SModifierEntry,std::less<unsigned int>,std::allocator<std::pair<unsigned int const ,SModifierEntry> >,0> >::_Buynode                                                                                                      	       	15         	0.93 	0            	0                 	0             	0.06            	
0x230e6ae0 	CSBMove::ThinkFrame                                                                                                                                                                                                                                                 	       	14         	0.64 	0            	0                 	0             	0               	
0x230bdf40 	IVisualEntity::GetSnapshot                                                                                                                                                                                                                                          	       	14         	0.93 	0.02         	0                 	0             	0               	
0x230249d0 	IUnitEntity::IsImmobilized                                                                                                                                                                                                                                          	       	14         	1.43 	0.03         	0                 	0             	0               	
0x23017cf0 	std::_Uninit_copy<std::_Vector_iterator<IUnitEntity *,std::allocator<IUnitEntity *> >,IUnitEntity * *,std::allocator<IUnitEntity *> >                                                                                                                               	       	14         	0.36 	0.02         	0.02              	0             	0               	
0x2300bd00 	IUnitDefinition::GetStashAccess                                                                                                                                                                                                                                     	       	14         	0.21 	0.10         	0.07              	0             	0.07            	
0x230c38d0 	IUnitEntity::ValidatePosition2                                                                                                                                                                                                                                      	       	13         	1.46 	0            	0                 	0.01          	0.02            	
0x2301b000 	ICreepEntity::GetBonusHealth                                                                                                                                                                                                                                        	       	13         	1    	0            	0                 	0.02          	0.02            	
0x230112e0 	IUnitDefinition::GetMaxHealthPerCharge                                                                                                                                                                                                                              	       	13         	0.69 	0.02         	0                 	0             	0               	
0x2300c270 	IUnitDefinition::GetUnitwalking                                                                                                                                                                                                                                     	       	13         	0.23 	0.07         	0                 	0             	0               	
0x230bfa90 	IUnitEntity::IsTargetType                                                                                                                                                                                                                                           	       	12         	0.25 	0            	0                 	0             	0.03            	
0x230bb300 	CSBAttack::Validate                                                                                                                                                                                                                                                 	       	12         	0.17 	0.10         	0                 	0             	0.05            	
0x23024a70 	CPlane::operator!=                                                                                                                                                                                                                                                  	       	12         	0.50 	0            	0                 	0             	0               	
0x230200e0 	IUnitEntity::IsRevealed                                                                                                                                                                                                                                             	       	12         	1.33 	0            	0                 	0             	0.01            	
0x2301e9d0 	std::_Tree<std::_Tmap_traits<unsigned int,SModifierEntry,std::less<unsigned int>,std::allocator<std::pair<unsigned int const ,SModifierEntry> >,0> >::erase                                                                                                         	       	12         	0.92 	0            	0                 	0             	0               	
0x23010d80 	IUnitEntity::GetBaseManaRegen                                                                                                                                                                                                                                       	       	12         	0.67 	0.01         	0                 	0             	0               	
0x2301f1b0 	CEntitySnapshot::WriteInteger<int>                                                                                                                                                                                                                                  	       	11         	1.73 	0            	0                 	0             	0               	
0x2300dcc0 	IUnitEntity::GetRevealRange                                                                                                                                                                                                                                         	       	11         	0.64 	0.03         	0                 	0             	0               	
0x2300dbc0 	IUnitDefinition::GetStealthType                                                                                                                                                                                                                                     	       	11         	0.18 	0.05         	0                 	0             	0               	
0x230b9480 	CSBSentry::ThinkFrame                                                                                                                                                                                                                                               	       	10         	0.10 	0            	0                 	0             	0               	
0x2308aca0 	CEntityNeutralCampController::ServerFrameThink                                                                                                                                                                                                                      	       	10         	0    	0            	0                 	0             	0               	
0x23020da0 	ILight::GetAsLight                                                                                                                                                                                                                                                  	       	10         	0.70 	0            	0                 	0             	0               	
0x230209b0 	CEntitySnapshot::WriteDeltaPos1D                                                                                                                                                                                                                                    	       	10         	1.40 	0            	0                 	0             	0               	
0x2301a4e0 	IUnitEntity::GetBoundsRadius                                                                                                                                                                                                                                        	       	10         	0.80 	0            	0                 	0             	0               	
0x230118b0 	IGameEntity::IsPet                                                                                                                                                                                                                                                  	       	10         	0.30 	0.03         	0                 	0.27          	0.03            	
0x23011150 	IUnitDefinition::GetHealthRegen                                                                                                                                                                                                                                     	       	10         	1.30 	0            	0                 	0             	0.01            	
0x230e9380 	INeutralEntity::ServerFrameThink                                                                                                                                                                                                                                    	       	9          	0.44 	0            	0                 	0             	0               	
0x230e7b50 	CASMoving::BeginState                                                                                                                                                                                                                                               	       	9          	0.67 	0            	0                 	0             	0               	
0x230e6a20 	CSBMove::Validate                                                                                                                                                                                                                                                   	       	9          	0.11 	0.30         	0                 	0             	0.10            	
0x230c4d10 	IUnitEntity::GetImmunityBits                                                                                                                                                                                                                                        	       	9          	1.22 	0            	0                 	0             	0               	
0x230b9500 	CSBSentry::ActionFrame                                                                                                                                                                                                                                              	       	9          	0.67 	0.03         	0                 	0             	0               	
0x2301aea0 	CCreepDefinition::GetBonusHealth                                                                                                                                                                                                                                    	       	9          	0.44 	0.03         	0                 	0             	0               	
0x2301a570 	IUnitDefinition::GetBoundsRadius                                                                                                                                                                                                                                    	       	9          	0.78 	0.01         	0.01              	0             	0               	
0x23017ca0 	std::vector<IUnitEntity *,std::allocator<IUnitEntity *> >::_Ucopy<std::_Vector_iterator<IUnitEntity *,std::allocator<IUnitEntity *> > >                                                                                                                             	       	9          	2.33 	0            	0                 	0             	0               	
0x23012780 	IVisualEntity::GetEffectScale                                                                                                                                                                                                                                       	       	9          	0.11 	0            	0                 	0             	0.20            	
0x230110c0 	IUnitEntity::GetBaseHealthRegen                                                                                                                                                                                                                                     	       	9          	1.67 	0            	0                 	0             	0               	
0x23010590 	IUnitDefinition::GetAttackRange                                                                                                                                                                                                                                     	       	9          	1.22 	0            	0.01              	0             	0               	
0x2300db60 	IUnitEntity::GetStealthType                                                                                                                                                                                                                                         	       	9          	0.56 	0.02         	0                 	0             	0               	
0x230ce320 	IProjectile::CalculateDelta                                                                                                                                                                                                                                         	       	8          	0.12 	0            	0                 	0             	0               	
0x230c5e70 	IUnitEntity::Action                                                                                                                                                                                                                                                 	       	8          	0.50 	0.03         	0                 	0             	0.03            	
0x23011940 	std::vector<unsigned int,std::allocator<unsigned int> >::operator=                                                                                                                                                                                                  	       	8          	0.25 	0            	0                 	0             	0               	
0x2300eb50 	IUnitEntity::GetTurnRate                                                                                                                                                                                                                                            	       	8          	0.12 	0            	0                 	0             	0.10            	
0x2300c030 	IUnitEntity::GetActualLifetime                                                                                                                                                                                                                                      	       	8          	0    	0            	0                 	0             	0               	
0x23007d70 	_CompareNoCase<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >                                                                                                                                                                               	       	8          	0.50 	0            	0                 	0             	0.03            	
0x23001300 	Normalize<float>                                                                                                                                                                                                                                                    	       	8          	0.38 	0            	0                 	0             	0               	
0x230ce820 	IProjectile::UpdateTargetPosition                                                                                                                                                                                                                                   	       	7          	0    	0            	0                 	0             	0               	
0x230c1c00 	IUnitEntity::IsPlayingAnim                                                                                                                                                                                                                                          	       	7          	0.14 	0.30         	0                 	0             	0               	
0x23060f10 	IGadgetEntity::GetPrivateClient                                                                                                                                                                                                                                     	       	7          	0.29 	0.10         	0                 	0             	0.05            	
0x230199e0 	IUnitEntity::GetImmunityType                                                                                                                                                                                                                                        	       	7          	0.29 	0            	0                 	0             	0               	
0x230c2310 	IUnitEntity::ServerFrameAction                                                                                                                                                                                                                                      	       	6          	0.33 	0.20         	0                 	0             	0.05            	
0x230c2150 	IUnitEntity::Link                                                                                                                                                                                                                                                   	       	6          	0.83 	0.04         	0                 	0             	0               	
