CS:EIP     	Symbol + Offset                                                                                                                                                                                                                                                     	64-bit 	CPU clocks 	IPC  	DC miss rate 	DTLB L1M L2M rate 	Misalign rate 	Mispredict rate 	
0x15134850 	CWorldTree::ResetWorkingTraceVars                                                                                                                                                                                                                                   	       	44         	0.77 	0.01         	0.00              	0             	0.02            	
0x1514b150 	CWorld::GetTerrainHeight                                                                                                                                                                                                                                            	       	42         	0.21 	0.06         	0.02              	0             	0.02            	
0x15032d50 	CWorldEntityList::GetEntity                                                                                                                                                                                                                                         	       	42         	0.64 	0.01         	0                 	0             	0               	
0x1500b9c0 	IBuffer::Clear                                                                                                                                                                                                                                                      	       	42         	0.95 	0.03         	0.03              	0             	0.00            	
0x151c1760 	FormatInt                                                                                                                                                                                                                                                           	       	41         	0.93 	0            	0                 	0             	0.01            	
0x15133600 	CNavGridZ::Merge                                                                                                                                                                                                                                                    	       	41         	1.17 	0.06         	0                 	0             	0               	
0x15115f60 	_chkstk                                                                                                                                                                                                                                                             	       	37         	0.32 	0.16         	0.08              	0             	0.01            	
0x15015050 	std::_Allocate<SExtents>                                                                                                                                                                                                                                            	       	35         	0.49 	0            	0.02              	0             	0.04            	
0x15040740 	CRecyclePool<CEntitySnapshot>::Free                                                                                                                                                                                                                                 	       	34         	0.79 	0.01         	0                 	0             	0               	
0x1526b220 	CClientConnection::WriteSnapshotFragments                                                                                                                                                                                                                           	       	33         	0.21 	0.13         	0.21              	0             	0.03            	
0x1520e3b0 	M_ClosestPointToSegment2d                                                                                                                                                                                                                                           	       	33         	0.52 	0            	0                 	0             	0               	
0x1513d0d0 	CWorldTree::TraceBox                                                                                                                                                                                                                                                	       	33         	0.52 	0.01         	0                 	0             	0.04            	
0x152742c0 	CPath::ClosestSegment2d                                                                                                                                                                                                                                             	       	31         	0.84 	0            	0                 	0             	0.01            	
0x1507d730 	CVec2<float>::Normalize                                                                                                                                                                                                                                             	       	30         	0.33 	0            	0                 	0             	0               	
0x15022330 	CProfileNode::StartSample                                                                                                                                                                                                                                           	       	30         	0.47 	0.01         	0.02              	0             	0.02            	
0x151be9d0 	CHost::Frame                                                                                                                                                                                                                                                        	       	28         	0.14 	0.12         	0.20              	0             	0.05            	
0x150211b0 	std::_Vb_const_iterator<std::vector<bool,std::allocator<bool> > >::operator+=                                                                                                                                                                                       	       	28         	0.68 	0            	0                 	0             	0               	
0x1526c9e0 	CClientConnection::SendPackets                                                                                                                                                                                                                                      	       	26         	0.65 	0.04         	0.06              	0             	0               	
0x151a6920 	CRasterBuffer::DrawCircle                                                                                                                                                                                                                                           	       	26         	0.81 	0            	0                 	0             	0.01            	
0x15114a00 	memcpy                                                                                                                                                                                                                                                              	       	26         	1.15 	0            	0                 	0             	0               	
0x151fd0d0 	CProfileManager::EndSample                                                                                                                                                                                                                                          	       	25         	0.28 	0.03         	0                 	0             	0.03            	
0x151bf170 	CHost::Execute                                                                                                                                                                                                                                                      	       	24         	0.08 	0.10         	0.35              	0             	0               	
0x15336e50 	_aullrem                                                                                                                                                                                                                                                            	       	23         	0.48 	0            	0                 	0             	0.01            	
0x1506b4d0 	std::_Tree<std::_Tmap_traits<unsigned int,CAnim *,std::less<unsigned int>,std::allocator<std::pair<unsigned int const ,CAnim *> >,0> >::const_iterator::_Inc                                                                                                        	       	23         	0.13 	0.47         	0.60              	0             	0.07            	
0x15274030 	CPath::TravelPath2d                                                                                                                                                                                                                                                 	       	22         	0.68 	0.01         	0                 	0             	0.01            	
0x151b8110 	CSnapshot::CalcSequence                                                                                                                                                                                                                                             	       	22         	0.73 	0.03         	0                 	0             	0.01            	
0x151acf80 	CHostServer::ReadPackets                                                                                                                                                                                                                                            	       	22         	0.55 	0            	0.04              	0             	0.03            	
0x15024d10 	std::_Tree<std::_Tset_traits<IResourceDependent *,std::less<IResourceDependent *>,std::allocator<IResourceDependent *>,0> >::erase                                                                                                                                  	       	22         	0.64 	0            	0                 	0             	0               	
0x15021680 	std::_Lower_bound<std::_Vector_iterator<char const *,std::allocator<char const *> >,char const *,int>                                                                                                                                                               	       	22         	1.05 	0.02         	0.01              	0             	0.00            	
0x15016790 	CAxis::Set                                                                                                                                                                                                                                                          	       	22         	0.41 	0.01         	0                 	0             	0               	
0x15075b20 	Normalize<float>                                                                                                                                                                                                                                                    	       	21         	0.86 	0.03         	0                 	0             	0.01            	
0x15025c50 	std::deque<unsigned int,std::allocator<unsigned int> >::push_back                                                                                                                                                                                                   	       	20         	1.50 	0.00         	0.01              	0             	0               	
0x15230ee0 	CConsole::Frame                                                                                                                                                                                                                                                     	       	19         	0.11 	0.10         	0.05              	0             	0               	
0x15001510 	CConsole::GetInstance                                                                                                                                                                                                                                               	       	19         	0    	0            	0                 	0             	0               	
0x151b7de0 	CSnapshot::PushNewEntity                                                                                                                                                                                                                                            	       	18         	0.39 	0            	0                 	0             	0.03            	
0x15025180 	std::_Tree<std::_Tset_traits<IResourceDependent *,std::less<IResourceDependent *>,std::allocator<IResourceDependent *>,0> >::_Buynode                                                                                                                               	       	18         	0.39 	0            	0.01              	0             	0.20            	
0x1520bd70 	M_ChangeAngle                                                                                                                                                                                                                                                       	       	17         	0.35 	0            	0                 	0             	0.02            	
0x151bb4d0 	CClientSnapshot::CClientSnapshot                                                                                                                                                                                                                                    	       	17         	0.53 	0            	0                 	0             	0.03            	
0x1507ccd0 	std::_Adjust_heap<CSearchNode * *,int,CSearchNode *,greaterDeref<CSearchNode *> >                                                                                                                                                                                   	       	17         	0.88 	0            	0                 	0             	0.01            	
0x15036560 	CVec3<float>::IsValid                                                                                                                                                                                                                                               	       	17         	0.59 	0.05         	0                 	0             	0.04            	
0x15336ca0 	_alldiv                                                                                                                                                                                                                                                             	       	16         	0.50 	0            	0.01              	0             	0               	
0x1500bc60 	IBuffer::Get                                                                                                                                                                                                                                                        	       	16         	0.50 	0            	0                 	0             	0.03            	
0x151bb310 	CClientSnapshot::GetUpdate                                                                                                                                                                                                                                          	       	15         	0.47 	0            	0                 	0             	0.03            	
0x150407e0 	std::vector<std::pair<unsigned int,unsigned int>,std::allocator<std::pair<unsigned int,unsigned int> > >::push_back                                                                                                                                                 	       	15         	1.40 	0.00         	0                 	0             	0               	
0x150225e0 	CBitmap::GetBMPType                                                                                                                                                                                                                                                 	       	15         	0.27 	0.05         	0.03              	0             	0               	
0x1520d320 	M_GetForwardVecFromAngles                                                                                                                                                                                                                                           	       	14         	0.50 	0            	0                 	0             	0               	
0x151b8ff0 	CEntitySnapshot::CEntitySnapshot                                                                                                                                                                                                                                    	       	14         	0.43 	0            	0                 	0             	0.02            	
0x151836a0 	CPacket::operator<<                                                                                                                                                                                                                                                 	       	14         	1.29 	0            	0                 	0             	0.02            	
0x151358a0 	CWorldTree::FindBestFitNode                                                                                                                                                                                                                                         	       	14         	1.71 	0.01         	0                 	0             	0.01            	
0x15133bf0 	CNavGridZ::LinearGate                                                                                                                                                                                                                                               	       	14         	1.79 	0            	0                 	0             	0.01            	
0x151308c0 	CNavigationGraph::LineOfSight                                                                                                                                                                                                                                       	       	14         	1.21 	0            	0                 	0             	0               	
0x1507cc20 	std::_Push_heap<CSearchNode * *,int,CSearchNode *,greaterDeref<CSearchNode *> >                                                                                                                                                                                     	       	14         	1.43 	0            	0                 	0             	0.01            	
0x15040d00 	CRecyclePool<CEntitySnapshot>::GetAvailableHandle                                                                                                                                                                                                                   	       	14         	0.64 	0            	0                 	0             	0               	
0x15273fa0 	CPath::AtGoal                                                                                                                                                                                                                                                       	       	13         	0.54 	0            	0.01              	0             	0               	
0x15040b30 	CRecyclePool<CEntitySnapshot>::CheckForResize                                                                                                                                                                                                                       	       	13         	1.54 	0            	0                 	0             	0               	
